1;arms_factory;890.00;10.60;1512.00;5.50;0
1;arms_factory;831.00;10.38;1573.00;0.78;0
1;arms_factory;884.00;10.68;1550.00;3.45;0
1;arms_factory;898.00;10.38;1607.00;1.29;0
1;arms_factory;924.00;10.30;1556.00;5.41;0
1;arms_factory;845.00;10.60;1559.00;5.51;0
1;industrial_complex;946.00;10.40;1565.00;3.35;0
1;industrial_complex;793.00;10.35;1603.00;6.01;0
1;industrial_complex;910.00;10.32;1604.00;2.40;0
1;industrial_complex;855.00;10.75;1535.00;3.96;0
1;industrial_complex;906.00;10.63;1532.00;1.80;0
1;industrial_complex;926.00;10.40;1549.00;3.00;0
1;air_base;859.00;10.55;1554.00;0.84;0
1;naval_base;833.00;10.20;1584.00;-2.92;18906
1;naval_base;816.00;9.80;1606.00;-4.58;18906
1;naval_base;878.00;10.30;1579.00;-3.06;18409
1;naval_base;930.00;9.88;1615.00;-3.14;18015
1;naval_base;815.00;10.10;1594.00;-4.25;18906
1;naval_base;845.00;10.15;1582.00;-2.98;18906
1;naval_base;906.00;10.28;1611.00;-3.46;18015
1;naval_base;795.00;9.50;1566.00;-1.97;17832
1;naval_base;863.00;10.10;1575.00;-2.98;18409
1;naval_base;793.00;9.82;1549.00;-1.57;17832
1;naval_base;790.00;9.50;1592.00;-1.57;17832
1;naval_base;881.00;9.95;1595.00;-2.21;18409
1;naval_base;851.00;10.15;1580.00;-3.61;18409
1;naval_base;793.00;9.50;1586.00;-1.37;17832
1;naval_base;817.00;10.10;1587.00;-3.66;18906
1;naval_base;917.00;10.25;1612.00;-2.82;18015
1;naval_base;890.00;9.70;1585.00;-0.79;18409
1;naval_base;939.00;10.35;1618.00;-3.14;18015
1;naval_base;886.00;9.80;1586.00;-0.79;18409
1;naval_base;799.00;10.10;1537.00;-2.74;17832
1;naval_base;795.00;10.10;1558.00;-2.11;17832
1;trench;882.00;10.30;1593.00;3.58;0
1;trench;841.00;10.55;1549.00;5.14;0
1;trench;834.00;10.65;1548.00;1.52;0
1;trench;893.00;10.25;1581.00;4.19;0
