1;2286.00;10.63;826.00;big
1;2217.00;9.50;966.00;big
2;3206.00;9.50;78.00;big
2;3027.00;9.50;224.00;big
3;2429.00;9.50;1166.00;big
3;2482.00;9.50;1338.00;big
4;2890.00;9.50;1342.00;big
4;2709.00;9.50;1442.00;big
5;1148.24;11.50;1593.61;big
5;1144.25;10.10;1756.05;big
5;1058.60;10.10;1680.38;big
5;1113.46;10.60;1638.84;big
6;1816.00;9.50;938.00;big
6;1618.00;9.50;1141.00;big
7;2727.00;9.50;645.00;big
7;2288.00;11.50;578.00;big
8;1883.00;9.50;497.00;big
8;1560.00;9.50;493.00;big
9;1530.00;9.50;814.00;big
9;1299.00;11.18;916.00;big
10;1027.00;9.50;830.00;big
10;697.00;9.50;665.00;big
11;1732.00;10.10;2609.00;big
11;1758.00;9.50;2320.00;big
12;47.00;9.50;461.00;big
12;182.00;9.50;591.00;big
13;1040.00;9.50;1807.00;big
13;778.00;9.50;1625.00;big
14;149.00;9.50;809.00;big
14;154.00;9.50;1186.00;big
15;579.00;9.50;1466.00;big
15;555.00;9.50;1260.00;big
16;426.00;9.50;2246.00;big
16;315.00;9.50;1724.00;big
17;608.00;10.28;1993.00;big
17;533.00;10.73;1906.00;big
18;770.00;10.10;1721.00;big
18;895.00;10.30;1785.00;big
19;785.00;11.00;2217.00;big
19;775.00;11.00;2094.00;big
20;821.00;10.20;1368.00;big
20;813.00;10.43;1508.00;big
20;890.78;10.60;1555.68;big
20;706.53;10.70;1519.40;big
21;1199.11;11.40;1473.82;big
21;1128.61;11.00;1524.35;big
21;1059.71;10.30;1574.07;big
21;990.48;10.60;1649.90;big
21;1120.72;11.40;1463.37;big
21;961.19;10.50;1501.22;big
21;1073.53;11.40;1415.56;big
21;977.39;10.60;1442.13;big
21;1055.66;10.30;1491.49;big
22;872.00;10.50;1210.00;big
22;1091.00;10.75;1230.00;big
22;988.31;11.60;1336.86;big
23;1394.00;9.50;1986.00;big
23;1339.00;9.50;2162.00;big
24;1736.00;9.50;2024.00;big
24;1594.00;9.50;1976.00;big
25;1213.00;9.50;1965.00;big
25;1199.00;9.50;2164.00;big
27;977.00;9.50;2056.00;big
27;943.00;9.50;2348.00;big
29;1922.00;10.30;2083.00;big
29;1952.00;10.30;2256.00;big
30;1569.00;9.50;2283.00;big
30;1512.00;10.55;2123.00;big
31;1538.00;10.98;2524.00;big
31;1638.00;11.80;2824.00;big
32;1349.00;12.63;2528.00;big
32;1285.00;13.60;2328.00;big
34;1855.00;10.60;2503.00;big
34;1957.00;9.50;2629.00;big
35;2101.00;10.50;2998.00;big
35;1865.00;10.60;2929.00;big
36;537.00;11.10;774.00;big
36;356.00;10.82;866.00;big
37;1553.00;13.28;1388.00;big
37;1309.00;12.53;1289.00;big
37;1491.00;10.10;1293.00;big
37;1619.62;11.60;1476.46;big
38;1686.00;12.88;864.00;big
38;1461.00;9.50;1092.00;big
39;2045.00;12.82;937.00;big
39;2117.00;10.30;773.00;big
39;2151.68;11.40;1023.19;big
40;1730.00;11.88;1218.00;big
40;1936.00;12.10;1100.00;big
40;1946.46;14.80;1011.55;big
40;1594.62;11.40;1299.50;big
41;2170.00;10.45;1205.00;big
41;2250.00;10.63;1459.00;big
41;2156.69;13.50;1075.92;big
42;1806.00;10.30;1397.00;big
42;2002.00;13.18;1407.00;big
43;1330.25;11.00;1551.63;big
43;1207.07;10.60;1643.40;big
43;1228.64;11.10;1560.55;big
43;1412.87;11.60;1588.51;big
43;1263.50;11.40;1471.52;big
43;1307.07;11.20;1660.45;big
43;1411.74;11.60;1478.83;big
44;1303.00;10.20;1790.00;big
44;1347.00;10.20;1995.00;big
45;1815.00;11.88;1538.00;big
45;1586.00;11.35;1581.00;big
46;1456.00;10.30;1760.00;big
46;1608.00;10.38;1763.00;big
47;1772.00;10.50;1858.00;big
47;1842.00;10.73;1668.00;big
48;2055.29;11.30;1623.66;big
48;1983.00;10.40;1906.00;big
48;2093.26;10.50;1827.88;big
48;1937.56;10.60;1786.77;big
49;2990.00;15.68;1124.00;big
49;2527.00;13.35;952.00;big
49;2325.54;10.50;1079.48;big
49;3004.84;11.60;980.19;big
50;2124.00;10.40;2739.00;big
50;2199.00;10.30;2323.00;big
51;438.00;11.73;527.00;big
51;194.00;11.45;429.00;big
52;2301.00;10.60;1705.00;big
52;2570.00;10.30;1651.00;big
52;2375.02;10.40;1542.81;big
52;2302.73;10.30;1778.78;big
52;2159.56;11.10;1661.49;big
53;2193.00;10.60;1955.00;big
53;2353.00;10.70;2062.00;big
53;2174.45;10.50;2085.62;big
53;2366.06;10.60;1976.54;big
54;952.00;9.50;2800.00;big
54;274.00;9.50;2775.00;big
55;3354.00;10.85;1404.00;big
55;3069.00;16.02;1439.00;big
56;2854.00;10.30;1642.00;big
56;3137.00;10.10;1700.00;big
57;3352.00;9.50;1726.00;big
57;3633.00;9.50;1487.00;big
58;2603.00;10.70;1968.00;big
58;2635.00;10.30;2201.00;big
59;2938.00;10.57;1994.00;big
59;3270.00;10.10;2040.00;big
60;3732.00;10.43;1774.00;big
60;3775.00;10.30;2157.00;big
61;2650.47;10.30;321.72;big
61;2842.00;11.88;193.00;big
61;2808.31;10.30;354.68;big
62;1225.00;12.53;461.00;big
62;2046.00;10.30;244.00;big
63;3305.00;12.60;331.00;big
63;3864.00;11.90;370.00;big
64;3458.00;10.30;815.00;big
64;2971.14;12.70;504.10;big
64;3011.26;11.80;792.70;big
65;3687.00;16.68;1238.00;big
65;3903.00;15.63;895.00;big
66;2464.00;10.30;2861.00;big
66;2506.00;10.57;2487.00;big
67;698.00;12.25;869.00;big
67;778.00;11.28;1028.00;big
68;401.00;12.38;1114.00;big
68;543.00;12.40;1041.00;big
69;3181.00;10.63;2378.00;big
69;2897.00;10.55;2597.00;big
70;3446.00;10.45;2789.00;big
70;3864.00;11.10;2761.00;big
71;2289.00;9.50;3020.00;big
71;2170.00;9.50;2872.00;big
72;1471.00;11.80;129.00;big
72;450.00;12.10;217.00;big
73;723.00;10.45;1802.00;big
73;826.00;11.45;1947.00;big
74;4038.00;9.50;670.00;big
74;3888.00;9.50;739.00;big
